Multiservices
100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          111m
recommendation-hpa   Deployment/recommendationservice   cpu: 72%/70%         1         10        1          111m
frontend-hpa         Deployment/frontend                cpu: 61%/70%         1         10        3          112m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          112m
recommendation-hpa   Deployment/recommendationservice   cpu: 75%/70%         1         10        1          112m
cart-hpa             Deployment/cartservice             cpu: 18%/70%         1         10        1          113m
recommendation-hpa   Deployment/recommendationservice   cpu: 72%/70%         1         10        1          113m
cart-hpa             Deployment/cartservice             cpu: 18%/70%         1         10        1          114m
frontend-hpa         Deployment/frontend                cpu: 62%/70%         1         10        3          114m
frontend-hpa         Deployment/frontend                cpu: 64%/70%         1         10        3          115m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          115m
recommendation-hpa   Deployment/recommendationservice   cpu: 73%/70%         1         10        1          115m
cart-hpa             Deployment/cartservice             cpu: 21%/70%         1         10        1          116m
recommendation-hpa   Deployment/recommendationservice   cpu: 71%/70%         1         10        1          116m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          117m
frontend-hpa         Deployment/frontend                cpu: 63%/70%         1         10        3          117m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          117m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          118m
frontend-hpa         Deployment/frontend                cpu: 62%/70%         1         10        3          118m
recommendation-hpa   Deployment/recommendationservice   cpu: 70%/70%         1         10        1          118m
frontend-hpa         Deployment/frontend                cpu: 63%/70%         1         10        3          119m
cart-hpa             Deployment/cartservice             cpu: 20%/70%         1         10        1          119m
recommendation-hpa   Deployment/recommendationservice   cpu: 74%/70%         1         10        1          119m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          120m
cart-hpa             Deployment/cartservice             cpu: 21%/70%         1         10        1          120m
frontend-hpa         Deployment/frontend                cpu: 64%/70%         1         10        3          120m
recommendation-hpa   Deployment/recommendationservice   cpu: 72%/70%         1         10        1          120m
recommendation-hpa   Deployment/recommendationservice   cpu: 32%/70%         1         10        1          121m
cart-hpa             Deployment/cartservice             cpu: 9%/70%          1         10        1          121m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          121m
frontend-hpa         Deployment/frontend                cpu: 28%/70%         1         10        3          121m
cart-hpa             Deployment/cartservice             cpu: 2%/70%          1         10        1          122m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/70%          1         10        1          122m
frontend-hpa         Deployment/frontend                cpu: 5%/70%          1         10        3          122m
cart-hpa             Deployment/cartservice             cpu: 2%/70%          1         10        1          123m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          124m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/70%          1         10        1          125m
frontend-hpa         Deployment/frontend                cpu: 5%/70%          1         10        3          126m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/70%          1         10        1          126m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          126m
frontend-hpa         Deployment/frontend                cpu: 1%/70%          1         10        2          126m
frontend-hpa         Deployment/frontend                cpu: 1%/70%          1         10        2          127m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/70%          1         10        1          127m
cart-hpa             Deployment/cartservice             cpu: 2%/70%          1         10        1          127m
frontend-hpa         Deployment/frontend                cpu: 7%/70%          1         10        1          127m
cart-hpa             Deployment/cartservice             cpu: 2%/70%          1         10        1          128m
frontend-hpa         Deployment/frontend                cpu: 15%/70%         1         10        1          128m
frontend-hpa         Deployment/frontend                cpu: 13%/70%         1         10        1          129m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/70%          1         10        1          129m



300 User 70% HPA 
PS C:\Windows\system32> kubectl get hpa --watch
