GKE multi-services

100 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 13%/50%    1         10        1          8m26s
recommendation-hpa   Deployment/recommendationservice   cpu: 38%/50%    1         10        3          9m3s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          9m8s
cart-hpa             Deployment/cartservice             cpu: 14%/50%    1         10        1          9m41s
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        3          10m
cart-hpa             Deployment/cartservice             cpu: 14%/50%    1         10        1          10m
recommendation-hpa   Deployment/recommendationservice   cpu: 32%/50%    1         10        3          11m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          11m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        3          11m
cart-hpa             Deployment/cartservice             cpu: 15%/50%    1         10        1          11m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          12m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        3          12m
cart-hpa             Deployment/cartservice             cpu: 10%/50%    1         10        1          12m
recommendation-hpa   Deployment/recommendationservice   cpu: 37%/50%    1         10        3          13m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          13m
cart-hpa             Deployment/cartservice             cpu: 14%/50%    1         10        1          14m
recommendation-hpa   Deployment/recommendationservice   cpu: 36%/50%    1         10        3          14m
cart-hpa             Deployment/cartservice             cpu: 8%/50%     1         10        1          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        3          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 28%/50%    1         10        3          15m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          15m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          16m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          16m
frontend-hpa         Deployment/frontend                cpu: 10%/50%    1         10        4          16m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/50%     1         10        1          16m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          17m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          17m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          17m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          17m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        3          18m
cart-hpa             Deployment/cartservice             cpu: 4%/50%     1         10        1          18m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          19m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          19m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          19m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          19m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          20m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          20m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          20m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          20m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        2          21m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        1          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        1          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%     1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 22%/50%    1         10        1          21m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          22m
cart-hpa             Deployment/cartservice             cpu: 4%/50%     1         10        1          22m
frontend-hpa         Deployment/frontend                cpu: 21%/50%    1         10        1          22m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          23m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          23m
frontend-hpa         Deployment/frontend                cpu: 20%/50%    1         10        1          23m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          24m
recommendation-hpa   Deployment/recommendationservice   cpu: 6%/50%     1         10        1          24m


100 users 70% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 8%/70%    1         10        1          107s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%    1         10        1          106s
frontend-hpa         Deployment/frontend                cpu: 22%/70%   1         10        1          107s
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/70%   1         10        1          105s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%    1         10        1          2m21s
frontend-hpa         Deployment/frontend                cpu: 12%/70%   1         10        1          2m22s
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/70%    1         10        1          2m20s
cart-hpa             Deployment/cartservice             cpu: 2%/70%    1         10        1          2m22s
frontend-hpa         Deployment/frontend                cpu: 166%/70%   1         10        1          2m25s
frontend-hpa         Deployment/frontend                cpu: 166%/70%   1         10        3          2m30s
recommendation-hpa   Deployment/recommendationservice   cpu: 90%/70%    1         10        1          2m39s
recommendation-hpa   Deployment/recommendationservice   cpu: 90%/70%    1         10        2          2m45s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%     1         10        1          3m24s
cart-hpa             Deployment/cartservice             cpu: 24%/70%    1         10        1          3m29s
frontend-hpa         Deployment/frontend                cpu: 63%/70%    1         10        3          3m40s
recommendation-hpa   Deployment/recommendationservice   cpu: 50%/70%    1         10        2          3m53s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/70%     1         10        1          4m24s
cart-hpa             Deployment/cartservice             cpu: 33%/70%    1         10        1          4m29s
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          4m40s
recommendation-hpa   Deployment/recommendationservice   cpu: 48%/70%    1         10        2          5m8s
checkout-hpa         Deployment/checkoutservice         cpu: 3%/70%     1         10        1          5m24s
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          5m47s
cart-hpa             Deployment/cartservice             cpu: 31%/70%    1         10        1          5m47s
recommendation-hpa   Deployment/recommendationservice   cpu: 50%/70%    1         10        2          6m8s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/70%     1         10        1          6m39s
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          6m55s
cart-hpa             Deployment/cartservice             cpu: 24%/70%    1         10        1          7m2s
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/70%    1         10        2          7m20s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%     1         10        1          7m54s
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          8m2s
cart-hpa             Deployment/cartservice             cpu: 23%/70%    1         10        1          8m17s
cart-hpa             Deployment/cartservice             cpu: 25%/70%    1         10        1          9m22s
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/70%    1         10        2          9m23s
frontend-hpa         Deployment/frontend                cpu: 64%/70%    1         10        3          10m
cart-hpa             Deployment/cartservice             cpu: 22%/70%    1         10        1          10m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%     1         10        1          10m
recommendation-hpa   Deployment/recommendationservice   cpu: 49%/70%    1         10        2          10m
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          11m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/70%     1         10        1          11m
cart-hpa             Deployment/cartservice             cpu: 31%/70%    1         10        1          11m
recommendation-hpa   Deployment/recommendationservice   cpu: 50%/70%    1         10        2          11m
frontend-hpa         Deployment/frontend                cpu: 65%/70%    1         10        3          12m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%     1         10        1          12m
cart-hpa             Deployment/cartservice             cpu: 29%/70%    1         10        1          12m
recommendation-hpa   Deployment/recommendationservice   cpu: 45%/70%    1         10        2          12m
frontend-hpa         Deployment/frontend                cpu: 64%/70%    1         10        3          13m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/70%     1         10        1          13m
cart-hpa             Deployment/cartservice             cpu: 20%/70%    1         10        1          13m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/70%    1         10        2          13m
frontend-hpa         Deployment/frontend                cpu: 57%/70%    1         10        3          14m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/70%     1         10        1          14m
recommendation-hpa   Deployment/recommendationservice   cpu: 45%/70%    1         10        2          15m
frontend-hpa         Deployment/frontend                cpu: 64%/70%    1         10        3          15m
cart-hpa             Deployment/cartservice             cpu: 27%/70%    1         10        1          15m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%     1         10        1          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 52%/70%    1         10        2          16m
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          16m
cart-hpa             Deployment/cartservice             cpu: 21%/70%    1         10        1          17m
recommendation-hpa   Deployment/recommendationservice   cpu: 49%/70%    1         10        2          17m
frontend-hpa         Deployment/frontend                cpu: 63%/70%    1         10        3          17m
cart-hpa             Deployment/cartservice             cpu: 24%/70%    1         10        1          18m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/70%    1         10        2          18m
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          18m
cart-hpa             Deployment/cartservice             cpu: 31%/70%    1         10        1          19m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%     1         10        1          19m
frontend-hpa         Deployment/frontend                cpu: 66%/70%    1         10        3          19m
recommendation-hpa   Deployment/recommendationservice   cpu: 48%/70%    1         10        2          19m
cart-hpa             Deployment/cartservice             cpu: 28%/70%    1         10        1          20m
frontend-hpa         Deployment/frontend                cpu: 65%/70%    1         10        3          20m
recommendation-hpa   Deployment/recommendationservice   cpu: 48%/70%    1         10        2          20m
cart-hpa             Deployment/cartservice             cpu: 19%/70%    1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 62%/70%    1         10        3          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/70%    1         10        2          21m
cart-hpa             Deployment/cartservice             cpu: 25%/70%    1         10        1          22m
frontend-hpa         Deployment/frontend                cpu: 10%/70%    1         10        3          22m
recommendation-hpa   Deployment/recommendationservice   cpu: 26%/70%    1         10        2          22m
frontend-hpa         Deployment/frontend                cpu: 8%/70%     1         10        3          23m
cart-hpa             Deployment/cartservice             cpu: 4%/70%     1         10        1          23m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/70%     1         10        2          23m
frontend-hpa         Deployment/frontend                cpu: 6%/70%     1         10        3          24m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/70%     1         10        1          24m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/70%     1         10        2          24m
cart-hpa             Deployment/cartservice             cpu: 3%/70%     1         10        1          25m
frontend-hpa         Deployment/frontend                cpu: 8%/70%     1         10        3          25m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%     1         10        1          25m
recommendation-hpa   Deployment/recommendationservice   cpu: 6%/70%     1         10        2          26m
cart-hpa             Deployment/cartservice             cpu: 4%/70%     1         10        1          26m
frontend-hpa         Deployment/frontend                cpu: 7%/70%     1         10        3          26m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/70%     1         10        1          26m
cart-hpa             Deployment/cartservice             cpu: 3%/70%     1         10        1          27m
frontend-hpa         Deployment/frontend                cpu: 7%/70%     1         10        3          27m
